code,title,definition,code_range,class_kind,inclusions,exclusions
817666175,"Harmful use of MDMA or related drugs, including MDA, episodic","A pattern of episodic or intermittent use of MDMA or related drugs, including MDA, that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of episodic use of MDMA or related drugs is evident over a period of at least 12 months. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to MDMA or related drug intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of MDMA or related drugs, including MDA applies.",,category,,"Episode of harmful use of MDMA or related drugs, including MDA|MDMA or related drug dependence, including MDA"
854520906,Episode of harmful use of cannabis,"An episode of use of cannabis that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour due to cannabis intoxication on the part of the person to whom the diagnosis of single episode of harmful use applies. This diagnosis should not be made if the harm is attributed to a known pattern of cannabis use.",,category,,Cannabis dependence|Harmful pattern of use of cannabis
405565289,Schizophrenia or other primary psychotic disorders,"Schizophrenia and other primary psychotic disorders are characterised by significant impairments in reality testing and alterations in behaviour manifest in positive symptoms such as persistent delusions, persistent hallucinations, disorganised thinking (typically manifest as disorganised speech), grossly disorganised behaviour, and experiences of passivity and control, negative symptoms such as blunted or flat affect and avolition, and psychomotor disturbances. The symptoms occur with sufficient frequency and intensity to deviate from expected cultural or subcultural norms. These symptoms do not arise as a feature of another mental and behavioural disorder (e.g., a mood disorder, delirium, or a disorder due to substance use). The categories in this grouping should not be used to classify the expression of ideas, beliefs, or behaviours that are culturally sanctioned.",6A20-6A2Z,block,,
397276103,Synthetic cannabinoid withdrawal,"Synthetic cannabinoid withdrawal is a clinically significant cluster of symptoms, behaviours and/or physiological features, varying in degree of severity and duration, that occurs upon cessation or reduction of use of synthetic cannabinoids in individuals who have developed Synthetic cannabinoid dependence or have used synthetic cannabinoids for a prolonged period or in large amounts. Presenting features of Synthetic cannabinoid withdrawal may include irritability, anger, aggression, shakiness, insomnia and disturbing dreams, restlessness, anxiety, depressed mood and appetite disturbance. In the early phase, Synthetic cannabinoid withdrawal may be accompanied by residual features of intoxication from the drug, such as paranoid ideation and auditory and visual hallucinations.",,category,,
1075129954,Dissociative amnesia with dissociative fugue,"Dissociative amnesia with dissociative fugue is characterised by all of the features of Dissociative Amnesia, accompanied by dissociative fugue, i.e., a loss of a sense of personal identity and sudden travel away from home, work, or significant others for an extended period of time (days or weeks). A new identity may be assumed.",,category,,postictal fugue in epilepsy
626975732,Dissociative amnesia,"Dissociative amnesia is characterised by an inability to recall important autobiographical memories, typically of recent traumatic or stressful events, that is inconsistent with ordinary forgetting. The amnesia does not occur exclusively during another dissociative disorder and is not better explained by another mental, behavioural or neurodevelopmental disorder. The amnesia is not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and is not due to a disease of the nervous system or to head trauma. The amnesia results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning.",,category,,amnesia NOS|Amnestic disorder due to use of alcohol|Anterograde amnesia|Retrograde amnesia|nonalcoholic organic amnesic syndrome|postictal amnesia in epilepsy
1807490186,Trance disorder,"Trance disorder is characterised by trance states in which there is a marked alteration in the individual’s state of consciousness or a loss of the individual’s customary sense of personal identity in which the individual experiences a narrowing of awareness of immediate surroundings or unusually narrow and selective focusing on environmental stimuli and restriction of movements, postures, and speech to repetition of a small repertoire that is experienced as being outside of one’s control. The trance state is not characterised by the experience of being replaced by an alternate identity. Trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days. The trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice. The symptoms do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The symptoms are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, exhaustion, or to hypnagogic or hypnopompic states, and are not due to a disease of the nervous system, head trauma, or a sleep-wake disorder. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.",,category,,
18178000,Schizotypal disorder,"Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.",,category,Schizotypal personality disorder,Autism spectrum disorder|Personality disorder
1226243628,"Sedative, hypnotic or anxiolytic-induced delirium","Sedative, hypnotic or anxiolytic-induced delirium is characterised by an acute state of disturbed attention and awareness with specific features of delirium that develops during or soon after substance intoxication or withdrawal or during the use of sedatives, hypnotics, or anxiolytics. Specific features of Sedative, hypnotic or anxiolytic-induced delirium may include confusion and disorientation, paranoid delusions, and recurrent visual, tactile or auditory hallucinations. The amount and duration of sedative, hypnotic, or anxiolytic use must be capable of producing delirium. The symptoms are not better explained by a primary mental disorder, by use of or withdrawal from a different substance, or by another health condition that is not classified under Mental, behavioural and neurodevelopmental disorders.",,category,"Delirium induced by sedative, hypnotic or anxiolytic withdrawal",
2136057978,"Harmful use of MDMA or related drugs, including MDA, continuous","A pattern of continuous (daily or almost daily) use of MDMA or related drugs, including MDA, that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of continuous use of MDMA or related drugs is evident over a period of at least one month. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to MDMA or related drug intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of MDMA or related drugs, including MDA applies.",,category,,"Episode of harmful use of MDMA or related drugs, including MDA|MDMA or related drug dependence, including MDA"
